label,text
ham,"Hej YARA, vi är intresserade av att samarbeta!"
ham,"Thank you for your interest, Bryson. 
Looking forward to connecting, Bryson. 
Impressed with your skills, Bryson. 
Excited to discuss further, Bryson. 
Stay tuned for next steps, Bryson."
ham,"Tack, Sarah! Vi är intresserade av att diskutera möjligheter."
ham,"Tack för ditt intresse, Lauren!"
ham,"Tack för ditt intresse, Claire!"
ham,Hi Josephine! Hope all is well. We're impressed with your background and would love to chat about a potential opportunity at Launch Darkly. Are you available for a quick call?
ham,"Hi Landon, just a friendly reminder about our upcoming meeting. Looking forward to connecting with you soon! Best, Carta"
ham,"Hey Johan, we're impressed by your profile! Can we connect to discuss potential opportunities at Nerd Wallet? Thanks!"
ham,"We're impressed with your skills, Lorenzo. Let's talk more about your potential role with us!"
ham,"Tack för ditt intresse, Fatou!"
ham,"Hi Andy, we're interested in discussing a potential collaboration. Could you let us know your availability for a call? Best, Zero Financial"
ham,"Hej Hayden, vi är intresserade av att prata med dig angående en möjlig anställning på Clover Health. Kan vi boka in en tid för ett telefonsamtal? Tack!"
ham,Greetings Philip! Interested in joining our team?
ham,"Hej Yehudis, vi på Opendoor är intresserade av att prata med dig. Kan du kontakta oss angående en potentiell anställning? Tack!"
ham,"Thanks for applying, Sylvia! We're interested in chatting further. Can you share your availability?"
ham,"Thank you for applying, Joseph! We're thrilled to have received your application. Please expect further communication from us soon."
ham,"Hello Mia, we are interested in discussing potential employment opportunities with you at AppNexus."
ham,"Hej Annie, Groove Labs är intresserade av att samarbeta med dig!"
ham,"Hello Riley, thank you for reaching out. We would like to discuss potential employment opportunities with you. Could you please provide us with your contact information and availability for a phone call?"
ham,"Thank you for your application, Isaac."
ham,"Hej Alexander, vi är imponerade av ditt arbete och skulle vilja diskutera en möjlig anställning på Bloc. Kan vi ta en snabb prat?"
ham,"Hej Jazmin, vi är imponerade av din meritlista. Skulle du vara intresserad av att arbeta för Hornblower Cruises?"
ham,"Thank you for your interest, Aubree."
ham,"Hello Shneur, could we chat about a job opportunity?"
ham,"Hi Dylan, 

Just a friendly reminder about the upcoming meeting. See you soon! 

Best, 
Shipt"
ham,"Hej Junior, tack för ditt intresse för Runway Incubator. Vi skulle vilja veta mer om din arbetslivserfarenhet och vad du skulle kunna bidra med i vårt team. Kan du dela med dig av dina tidigare projekt eller arbetsplatser?"
ham,"Hej Joel, tack för att du visade intresse för vår kontaktform. Vi ville bara säga att vi ser fram emot att kontakta dig snart för en uppföljning."
ham,Thank you for applying. We will review your application.
ham,"""Hello Naomi, we have exciting news for you!"""
ham,"Hello Heaven, we are interested in potentially working with you. Would you be open to discussing further?"
ham,"Hej Michelle, 

Vi är imponerade av din erfarenhet och tror att du skulle vara en bra passform för vårt team. 

Vänligen svara med ditt CV och förväntad lön. 

Tack! 

Sibly"
ham,Hi Tiffany! Just wanted to touch base and see if you're still interested in the position at Heap. Let us know!
ham,"Tack för ditt intresse, Nicholas."
ham,Hej Frieda! Vi på AltSchool har hört mycket positivt om dig och skulle vilja diskutera en möjlig anställning med dig. Kan du vänligen kontakta oss så snart som möjligt? Tack!
ham,"Tack för ditt intresse, Manuel! Vi kommer snart att kontakta dig med ett formellt förslag."
ham,"Hello Iris, we're reaching out from Broadcom regarding your recent application. Could you let us know your availability for a quick phone call?"
ham,"Tack för att du visar intresse, Layla! Vi vill gärna diskutera möjligheten till anställning."
ham,"Tack för ditt intresse, Desmond!"
ham,Hej JEAN! Vi är glada att du är intresserad av att ansluta dig till SoloLearn-teamet. Vi ser fram emot att lära känna dig bättre och diskutera möjliga karriärmöjligheter. Vi kommer att kontakta dig snart för att prata mer. Ha en fantastisk dag!
ham,"Hej Christina, vi vill gärna förtydliga några detaljer från Qualys."
ham,"Tack för ditt intresse, Martin. Vänligen fyll i formuläret nedan."
ham,"Thank you for your interest, Jannat. We'll be in touch soon.
"
ham,"Hej Benjamin, vi på Thoughtworks hoppas att du mår bra och ser fram emot att höra från dig snart."
ham,Hej Perl! Jag är intresserad av att kontakta dig angående en potentiell anställning.
ham,"Hej Carina, är du ledig imorgon för att träffas?"
ham,"Hej Kylie, 
Vi är intresserade av att prata med dig angående en möjlig anställd roll på unitQ. Kan du vänligen kontakta oss för att diskutera nästa steg? 
Tack. 
Med vänliga hälsningar, 
[unitQ]"
ham,Hej Aisha! Jag såg ditt fantastiska arbete på Upwork och jag skulle gärna vilja diskutera en potentiell anställning med dig. Kan du kontakta mig så kan vi prata mer? Tack! - Sara
ham,"Hej Elaine, jag är imponerad av ditt CV och skulle vilja prata mer om en potentiell roll hos oss."
ham,"Hej Ashley, tack för ditt intresse för Divvy Homes! Vi skulle gärna vilja veta mer om din erfarenhet och hur du tror att du kan bidra till vårt team. Kan du dela med dig av din CV och eventuella referenser?"
ham,"""Hi Mariam, we'd love to connect with you to discuss exciting opportunities at Alpha Sense. Could you please share your availability for a quick call this week? Thanks!"""
ham,Tack för ditt intresse!
ham,"Good morning Marcus, we're impressed with your qualifications. Can you please share your availability for an interview?"
ham,"Thank you for your interest in Beezwax Datatools, ARMANI. We will be in touch soon!"
ham,"Tack för att du visar intresse, Cameron!"
ham,"Hej Sean! Bara en snabb påminnelse om vårt kommande möte imorgon. Ser fram emot att prata med dig. Ha en bra dag! Mvh, Bolt."
ham,Hi Mariana! We came across your impressive resume and would love to connect.
ham,"Impressed with your skills, Ronan. Keep up the good work!"
ham,"Hej Parker, vi är Criteo och vi skulle vilja erbjuda dig en anställning!"
ham,"""Tack för ditt intresse, Kenneth! Vi vill gärna träffa dig för att diskutera möjligheter."""
ham,"Thank you for your application, Elvis."
ham,"Tack för ditt intresse, Levi. Vi skulle vilja lära känna dig bättre. "
ham,"Hej Daniela, jag hoppas allt är bra med dig! Jag ville bara påminna dig om att vi fortfarande väntar på din svar angående jobbansökan. Ser fram emot att höra från dig snart. Tack!"
ham,"Thank you for your application, Cameron. We are impressed with your qualifications."
ham,"Hej Leila, jag är intresserad av att diskutera en arbetssamarbete. Kan vi sätta upp en tid för ett möte? Tack!"
ham,"Thank you for your interest in EMC Data Domain, Adonis. Let's connect further to discuss potential opportunities."
ham,"Tack för ditt intresse, Robert!"
ham,"Thank you for your interest in our company, Samantha. When are you available for an interview?"
ham,Hello Zaire! Just wanted to reach out and say we're impressed with your experience. Let's chat more about joining our team at Datrium!
ham,Hej Yael! Vi skulle vilja prata med dig angående en möjlig arbetsmöjlighet. Kan du vänligen kontakta oss? Tack!
ham,"Tack för ditt intresse, Alex! 
-------------
Vi rekryterar för en spännande position.
-------------"
ham,"Hey Cora, we love your expertise! Join us at Court Buddy and let's rock the legal world together. Can't wait to discuss details."
ham,"Hey Thiago, just wanted to touch base and see if you're still interested in the position. Let us know!"
ham,"Hi Malak, I've come across your impressive portfolio and would love to discuss potential job opportunities together. Can you please share your availability for a phone call this week? Looking forward to connecting with you. "
ham,Hi Abdullah! We're thrilled to reach out and discuss an exciting opportunity with you. Can we schedule a time to chat further?
ham,"""Hej Gemma, vi är intresserade av att prata om en möjlig position hos oss. Kan vi få ditt telefonnummer för att fortsätta diskussionen?"""
ham,"Hi Evan, we'd love to chat about a potential opportunity to join our team. Can you share your availability for a quick call this week? Thanks!"
ham,"Hej Melina, vi är intresserade av att diskutera en möjlig anställning. Vänligen kontakta oss så att vi kan prata vidare!"
ham,"Hej Lara, vi har ett jobberbjudande för dig!"
ham,"Hej Roy, hoppas allt är bra med dig! Skedulo skulle bara vilja påminna dig om den jobbansökan du skickade in till oss. Vi ser fram emot att läsa igenom den och återkomma till dig inom kort. Ha en trevlig dag!"
ham,"Hej Moussa, vi är imponerade av din talang och skulle vilja erbjuda dig anställning på MasterClass. Vänligen kontakta oss för att diskutera detaljerna. Tack!"
ham,"Thank you for reaching out, Moishe. We appreciate your interest in Adobe. Could you kindly provide some additional information about your qualifications and why you're interested in joining our team?"
ham,"Thanks for your interest, JOHNATHAN! We'd love to learn more about you. Can you share your resume?"
ham,Hej Isabella!
ham,"Hej Arely, 
Vi på LiveRamp undrar om du är intresserad av att prata om en spännande karriärmöjlighet med oss. 
Vänligen bekräfta om denna tid skulle passa för ett samtal. 
Tack på förhand, 
[Employer's Name]"
ham,"Hej Kendrick, vi är imponerade av ditt CV."
ham,"Tack för ditt intresse, Oscar. Jag ser fram emot att träffa dig!"
ham,"Dear Tristan, 
Just a friendly reminder that the deadline for the employment application at Avast is quickly approaching. We appreciate your interest and look forward to reviewing your qualifications. Thank you for your time and consideration. 
Best regards, 
Avast HR Team"
ham,"Dear Rihanna, we are interested in discussing a potential employment opportunity with you."
ham,"Hej Gabriel, tack för att du visar intresse för att arbeta på Dharma Labs. Vi ser fram emot att lära känna dig bättre och diskutera dina arbetsmöjligheter med oss."
ham,"Tack för ditt intresse, Mendy. Vi kommer att kontakta dig inom kort."
ham,Hey Elliott! We heard you're out of this world and thought you might be a perfect fit for our galaxy. Care to join the Lucasfilm crew?
ham,Hej Madeline!
ham,"Thank you for your interest, Jeremiah."
ham,"Tack för ditt intresse, Elias!"
ham,"Hej Vicky, tack för att du deltog i vår intervju på interviewing.io. Kan vi få dina kontaktuppgifter i form av telefonnummer och e-postadress?"
ham,"""Hej Louis! Jag hoppas att du mår bra och att den här dagen behandlar dig väl. Jag ville bara säga hej och uttrycka mitt intresse för ditt arbete. Vi skulle gärna vilja lära känna dig bättre och prata mer om möjligheterna att jobba tillsammans på Tetra. Hör gärna av dig när du har möjlighet. Ha en fantastisk dag!"""
ham,"Hello Jeremiah, 

Just a friendly reminder to follow up on our previous conversation. 

Best, 

Everlaw."
ham,"Tack för ditt intresse, Melody!"
ham,"Thank you for reaching out, Jax! We received your contact form and will be in touch soon."
ham,"Hej Emiliano, vi är intresserade av att prata med dig."
ham,"Hej Stephen, vi är imponerade av ditt CV och skulle vilja boka in en telefonsamtal för att diskutera möjligheten att arbeta tillsammans. Kan du ge oss ditt bästa telefonnummer och lämplig tidpunkt för samtalet? Tack! - ValiMail"
ham,"Hello Gianluca, thank you for your application."
ham,"Tack för ditt intresse, Cayden! Vi ska kontakta dig inom kort."
ham,"Hej Jaylin, vi hörde talas om din imponerande portfolio och skulle vilja ha mer information om din tillgänglighet och intresse för att arbeta med oss på Employbl."
ham,Hej Margot! Vill bara säga hej och se om du är öppen för nya karriärmöjligheter.
ham,Hej Jerry! Vi är imponerade av ditt CV. Kan vi få prata mer?
ham,"Hej Romy, vi är imponerade av ditt CV och skulle vilja diskutera möjligheter med dig. Kan vi höra mer om din tillgänglighet? Tack! - Teamet på Memebox"
ham,"Hi Jace, we are impressed with your coding skills! Can we connect to discuss potential opportunities at SoloLearn?"
ham,"Hej Arthur, tack för ditt intresse! Vårt team är imponerat av din kompetens. Vi skulle gärna vilja lära känna dig bättre."
ham,"Tack för din ansökan, Jonathan! Vi ser fram emot att höra mer från dig."
ham,"Thank you for your interest, Jessica. We'll be in touch soon."
ham,"Hej Aria, jag är intresserad av att veta mer om din arbetslivserfarenhet. Kan du dela med dig av din CV?"
ham,"Hi Phoenix, we reviewed your impressive portfolio and would like to discuss a potential job opportunity at Aura Frames. Could you provide your availability for a phone interview this week? Thank you."
ham,"Hej Carter, vi är imponerade av ditt CV och skulle vilja diskutera en möjlig anställning. Kan du skicka över dina kontaktuppgifter? Tack!"
ham,"""Hey Savannah, Allbirds wants you on our team! Join us for a chat?"""
ham,"Dear Hadassah, 

Thank you for your recent application. We are reviewing it and will be in touch soon. 

Best regards, 
21Tech"
ham,"Hej Genesis, vi är intresserade av dig som potentiell anställd. Kan du snälla skicka över ditt CV? Tack!"
ham,"Hi Zachary, we're thrilled to connect with you! Could you kindly share your availability for a quick call this week? Thanks!"
ham,"Hi Brielle, we received your application and are impressed with your qualifications. We'd love to chat further about the position. Can you please provide your availability for a phone interview? Thanks!"
ham,"Hi Amy, I found your profile and I'm impressed! Are you currently seeking new opportunities? - Clearbit"
ham,"Thank you for your interest, Mackenzie. We appreciate your application."
ham,Thank you for your interest in our company.
ham,"Tack för ditt intresse, Ava."
ham,"Hello Daniella, we are interested in exploring possible employment opportunities with you."
ham,"Tack för ditt intresse, Nechama!"
ham,"Hello Tzipora, we would like to connect with you regarding a potential opportunity. Could you please provide your contact information?"
ham,"Hello Cody, let's connect regarding a potential opportunity at our company. Can you please share your resume and availability? Thank you!"
ham,"Hello Amir, thank you for your interest in joining Mosaic. We are impressed with your qualifications and would like to discuss your application further. Please provide us with your availability for a phone interview at your earliest convenience."
ham,"Tack för ditt intresse, IAN."
ham,"Tack för ditt intresse, Ahuva. Vi är imponerade av din kompetens och ser fram emot att lära känna dig bättre."
ham,"Tack för ditt intresse, Faiga!"
ham,"Dear Anna, we are interested in your qualifications and would like to schedule an interview."
ham,"""Looking forward to connecting soon, Benzion!"""
ham,"Tack för att du skickade in din ansökan, Nathan! Vi är imponerade av dina erfarenheter och skulle vilja diskutera vidare. Kan du vänligen ge oss ditt telefonnummer så vi kan ringa dig?"
ham,"Hi Salome, we love your work and would like to connect!"
ham,"Hej Alisa, skulle du vara intresserad av att höra mer om en möjlig uppgradering från SwiftStack?"
ham,"Hej Emmanuel, hoppas allt är bra! Jag är från Branch International och vill höra om du skulle vara intresserad av att prata mer om en potentiell anställning med oss. Låt mig veta om du är tillgänglig för en snabb chatt. Tack!"
ham,"Hej Ryan! Vi är imponerade av ditt CV och skulle vilja diskutera möjligheten att anställa dig på RapidAPI. Kan du meddela oss bästa sättet att kontakta dig på? Hälsningar, RapidAPI-teamet"
ham,"Thank you for your interest, Cindy. Could you please provide your full name?"
ham,"Tack för ditt intresse, Julio. Vi ser fram emot att prata med dig."
ham,"""Hi Nicole! We came across your resume and wanted to reach out. Are you available for a quick chat later today? - Forkable"""
ham,"Hej Yossi, bara en snabb påminnelse från MissionU."
ham,"Hi Liliana, we're interested in a potential collaboration. Can we connect further to discuss?"
ham,"Hej Elisa, vi är intresserade av att kontakta dig angående en potentiell anställning. Kan du vänligen svara med din bästa kontaktinformation? Tack!"
ham,Hey Elizabeth! We're excited to have you on board. Can't wait to see what amazing things we can achieve together. Let's get this show on the road! 👊
ham,"Hej Ivy, jag är intresserad av att diskutera en möjlig anställning med dig."
ham,"Hi Kayden, we're really impressed with your experience and skills! Let's connect further. - Storm Ventures"
ham,"Hej Juliana, tack för att du lämnade in din ansökan. Vi kommer att ta en närmare titt på den och återkommer snart. Håll utkik i din inkorg!"
ham,Hi Liana! We're impressed by your work. Can we connect for a chat?
ham,"Hej Katerina, jag ser fram emot att gå vidare med vår anställningsprocess. Har du tid för att träffas och prata mer? Mvh, Miles."
ham,"Dear Dulce, we appreciate your interest in joining our team. Could you please share your resume and a little more about yourself? Looking forward to learning more about your potential contribution."
ham,"Hej Carla, jag hoppas att du har en fantastisk dag! Vi är intresserade av att prata mer med dig angående en potentiell anställning. Kan du snälla ge oss en tid som passar för dig att prata? Tack!"
ham,"Tack för ditt intresse, MOHAMMAD."
ham,Hi Jorge! We'd love to chat. Can you share your availability for a quick call? - BuildingConnected
ham,"Tack för ditt intresse, Adeline. Vi ser fram emot att lära känna dig bättre."
ham,"Tack för att du är intresserad av att bli en del av vårt team, DEREK!"
ham,"Hello Jocelyn, 

We would like to explore a potential employment opportunity with you at HeartFlow. Please let us know if you are available to discuss further. 

Best regards, 
HeartFlow HR Team"
ham,Tack för att du är intresserad av Battery Ventures. Kan vi boka ett samtal för att diskutera dina möjligheter?
ham,"Hi Kylee, we are impressed with your profile and would like to discuss a potential opportunity with Mattermark. Can we schedule a call?"
ham,"Hello Alfredo, we're excited to connect with you. Can we chat further about an employment opportunity with RingCentral?"
ham,"Hej PARKER, vi är imponerade av ditt arbete och skulle vilja anställa dig. Kan vi prata mer?"
ham,"Tack för ditt intresse, Gabriel! Vi skulle vilja diskutera fortsättningen. Vänligen svara på detta meddelande med din tillgänglighet för en intervju."
ham,"Hej Bryan, vi är intresserade av att prata med dig angående en möjlig anställning på Modern Health. Kan du ge oss ditt telefonnummer så vi kan anordna ett samtal?
Tack, Modern Health"
ham,"Tack för ditt intresse, Alexandra!"
ham,"Hej Mohammed, vi är intresserade av din ansökan. Kan du skicka över ditt CV och personliga brev? 

Med vänliga hälsningar,
Riot Games"
ham,"Tack för ditt intresse för oss på Lucasfilm Ltd, Harper! 
Jag undrar om du kan ge mig din senaste CV så att jag kan läsa igenom den? Tack!"
ham,"Hej Emma, tack för att du intresserar dig för vår organisation. Vi ser fram emot att lära känna dig bättre."
ham,"Hi Lara, we're impressed with your portfolio and would love to discuss potential opportunities at Snappr. Could you please provide your contact information so we can connect further?"
ham,"Hej Matthew, 

Tack för att du kontaktade oss. Vi ser fram emot att få veta mer om dig och dina färdigheter. 

Vänliga hälsningar,

Lime"
ham,"Hej Nicolas, 
Vi är intresserade av att diskutera en potentiell möjlighet med dig på TriplePoint Capital. Kan du vänligen ge oss ditt telefonnummer så att vi kan kontakta dig för att planera ett samtal?
Tack!"
ham,"Trevligt att träffas, Henry! Jag har ett intressant förslag att diskutera med dig."
ham,"Thank you for your interest, Mia! 

We appreciate your application, Mia! 

We look forward to speaking with you, Mia! 

Welcome to HackerOne, Mia! 

Hi there, Mia! 

Thanks for reaching out, Mia! 

Hello, Mia! 

Great to have you here, Mia! 

Nice to meet you, Mia! 

Greetings, Mia!"
ham,"Tack för ditt intresse, Tzivia!"
ham,"Hej Mackenzie, vi är eBay och skulle vilja snacka med dig."
ham,"Thank you for your interest, Eileen. Please provide your resume for review."
ham,"Hello Edgar, we are impressed by your skills."
ham,"Hi Liam, I hope this message finds you well! I am reaching out regarding a potential opportunity at Dover."
ham,"Thank you for reaching out, Aaliyah."
ham,"Hello Dylan, 

I hope this message finds you well. I wanted to follow up on your recent application and express our interest in potentially working together. Could you please let us know your availability for a short phone interview? Thank you and looking forward to connecting soon. 

Best regards, 
Quip"
ham,"Hi Hector, 
How are you? 
-Vero"
ham,"Hej Jocelyn! Vi är imponerade av din erfarenhet och skulle vilja höra mer om dina kvalifikationer. Skulle du vara intresserad av att diskutera ett potentiellt samarbete? Mvh, Iris Automation."
ham,Hej Derek! Tack för ditt intresse för att arbeta med oss på Goodby Silverstein & Partners. Vi uppskattar din ansökan och ser fram emot att lära känna dig mer.
ham,"Hej Tristan, jag hoppas att du har det bra! Jag skriver för att höra om du är intresserad av en potentiell anställning hos oss på Nylas. Skulle du vara tillgänglig för att prata vidare? Tack!"
ham,"Hello Mikayla, 
We are impressed with your qualifications and would like to schedule an interview. Can you please provide your availability for next week?"
ham,Tack för att du är intresserad av att bli en del av CONNOR!
ham,Hey Jesse! We've got an exciting opportunity for you at Makena Capital Management. Curious to hear more? Drop us a line!
ham,Vi är imponerade av ditt arbete och skulle gärna vilja diskutera en möjlig anställning. Kan vi reda upp detaljerna vid tillfälle?
ham,"Hej Giovanna, vi vill bara påminna om vårt möte imorgon."
ham,"Tack för ditt intresse, Kareem."
ham,Hej Tamia! Vi är imponerade av ditt CV och undrar om du skulle vara intresserad av att ta en kopp kaffe för att diskutera potentiella jobbmöjligheter hos Barracuda?
ham,Hej Nina! Bara en liten påminnelse om att vi fortfarande är intresserade av att prata med dig angående möjligheterna att bli en del av vårt team på Sephora. Ser fram emot att höra från dig snart!
ham,"Hi Eddie, we are interested in hiring you! Can you please provide your contact information?"
ham,"Tack för ditt intresse, Yaakov! Kommer snart med ett spännande förslag."
ham,"Tack för att du visar intresse, Tiffany! Vi uppskattar din portfolio och vill gärna diskutera möjligheter."
ham,"Thank you for your interest, Molly. Could you please share your resume with us?"
ham,Hi Daniella! Can you please provide your contact details so we can get in touch?
ham,"Hej IZAIAH, jag är imponerad av ditt CV och skulle vilja boka in en intervju!"
ham,Thank you for your interest! Could you kindly share your updated contact details for us to get in touch?
ham,Looking forward to our meeting tomorrow!
ham,Hej Anthony! Vi är imponerade av ditt CV och skulle gärna vilja ha dig med i vårt team på Stitch Fix. Kan du berätta mer om dina tankar och idéer för en spännande utveckling hos oss? Tack!
ham,"Hey Ariel, thanks for your application! We're excited to learn more about you. Let's schedule a quick call to chat further. Can you let us know when you're available?"
ham,"Hi Sarah, we have received your application and would like to schedule an interview."
ham,Tack för ditt intresse!
ham,"Hello Kylie, we are delighted to connect with you."
ham,"Tack för ditt intresse, Hershy!"
ham,"Hi Zuri, we have reviewed your application and are impressed with your qualifications. Can we discuss the position further?"
ham,Hi Max! We noticed your impressive resume. Could you forward us your availability for a quick chat?
ham,"Tack för ditt intresse, Jordyn. Kan du vänligen förklara lite mer om din erfarenhet?"
ham,"Hello Massimo, thank you for your application."
ham,"Hej Noah, tack för att du har visat intresse för Sentry! Vi vill bara påminna dig om att vi ännu inte har fått ditt CV. Skulle du kunna skicka det till oss så snart som möjligt? Tack på förhand!"
ham,"Hej Malak, vi är intresserade av att prata med dig om en spännande möjlighet. Kan du kontakta oss?"
